Video,Label,Frame,Lips_Left_Mag,FPS
video107_final.mp4,Healthy,96,0.006895889131844144,20.0
video107_final.mp4,Healthy,97,0.01778915538872856,20.0
video107_final.mp4,Healthy,98,0.004698752013905532,20.0
video107_final.mp4,Healthy,99,0.012423082058986422,20.0
video107_final.mp4,Healthy,100,0.011209770359578621,20.0
video108_final.mp4,Healthy,1,0.0,20.0
video108_final.mp4,Healthy,2,0.031579947166638256,20.0
video108_final.mp4,Healthy,3,0.0077785758108856,20.0
video108_final.mp4,Healthy,4,0.037262371930480064,20.0
video108_final.mp4,Healthy,5,0.014137749226262155,20.0
video108_final.mp4,Healthy,6,0.039585965220795084,20.0
video108_final.mp4,Healthy,7,0.02359904600296389,20.0
video108_final.mp4,Healthy,8,0.015905888467191154,20.0
video108_final.mp4,Healthy,9,0.02093652570827631,20.0
video108_final.mp4,Healthy,10,0.010455051122668901,20.0
video108_final.mp4,Healthy,11,0.04500609504184552,20.0
video108_final.mp4,Healthy,12,0.022136120401181292,20.0
video108_final.mp4,Healthy,13,0.020234586869635793,20.0
video108_final.mp4,Healthy,14,0.02918649345514243,20.0
video108_final.mp4,Healthy,15,0.015150266242388584,20.0
video108_final.mp4,Healthy,16,0.0123855157242601,20.0
video108_final.mp4,Healthy,17,0.03417212253315094,20.0
video108_final.mp4,Healthy,18,0.03359579838172663,20.0
video108_final.mp4,Healthy,19,0.032468801785394616,20.0
video108_final.mp4,Healthy,20,0.020877519287055935,20.0
video108_final.mp4,Healthy,21,0.009995061935863856,20.0
video108_final.mp4,Healthy,22,0.03330834625835518,20.0
video108_final.mp4,Healthy,23,0.013611897580174215,20.0
video108_final.mp4,Healthy,24,0.05906530778134812,20.0
video108_final.mp4,Healthy,25,0.02623930087435295,20.0
video108_final.mp4,Healthy,26,0.030947926962432724,20.0
video108_final.mp4,Healthy,27,0.02235107572106792,20.0
video108_final.mp4,Healthy,28,0.02528085125327852,20.0
video108_final.mp4,Healthy,29,0.035665254492920254,20.0
video108_final.mp4,Healthy,30,0.020547676892675892,20.0
