Video,Label,Frame,Cheek_Right_Mag,FPS
video107_final.mp4,Healthy,96,0.008188702499033534,20.0
video107_final.mp4,Healthy,97,0.008459935230754945,20.0
video107_final.mp4,Healthy,98,0.005289202952012591,20.0
video107_final.mp4,Healthy,99,0.00814337319418341,20.0
video107_final.mp4,Healthy,100,0.011043207940031573,20.0
video108_final.mp4,Healthy,1,0.0,20.0
video108_final.mp4,Healthy,2,0.014204882090852656,20.0
video108_final.mp4,Healthy,3,0.00783906405882647,20.0
video108_final.mp4,Healthy,4,0.029158752675661724,20.0
video108_final.mp4,Healthy,5,0.023343504689999163,20.0
video108_final.mp4,Healthy,6,0.04265587101675673,20.0
video108_final.mp4,Healthy,7,0.018054399233400364,20.0
video108_final.mp4,Healthy,8,0.006659502999149983,20.0
video108_final.mp4,Healthy,9,0.008989165950610115,20.0
video108_final.mp4,Healthy,10,0.010355900236823418,20.0
video108_final.mp4,Healthy,11,0.0123571613288057,20.0
video108_final.mp4,Healthy,12,0.006767088698884411,20.0
video108_final.mp4,Healthy,13,0.013984626643404574,20.0
video108_final.mp4,Healthy,14,0.03125656643343745,20.0
video108_final.mp4,Healthy,15,0.017483890440653835,20.0
video108_final.mp4,Healthy,16,0.018286493081644047,20.0
video108_final.mp4,Healthy,17,0.03970457390131682,20.0
video108_final.mp4,Healthy,18,0.03305317021323557,20.0
video108_final.mp4,Healthy,19,0.0213215590158901,20.0
video108_final.mp4,Healthy,20,0.006174572928554669,20.0
video108_final.mp4,Healthy,21,0.019305280738247835,20.0
video108_final.mp4,Healthy,22,0.008078293586021173,20.0
video108_final.mp4,Healthy,23,0.008388439886148017,20.0
video108_final.mp4,Healthy,24,0.02644098350553987,20.0
video108_final.mp4,Healthy,25,0.018847558135867002,20.0
video108_final.mp4,Healthy,26,0.009772252944308482,20.0
video108_final.mp4,Healthy,27,0.011919606993816952,20.0
video108_final.mp4,Healthy,28,0.018497130744167783,20.0
video108_final.mp4,Healthy,29,0.021796500651497602,20.0
