Video,Label,Frame,Eye_Right_Mag,FPS
video107_final.mp4,Healthy,96,0.011171534233618255,20.0
video107_final.mp4,Healthy,97,0.008094851186735716,20.0
video107_final.mp4,Healthy,98,0.00657018228199112,20.0
video107_final.mp4,Healthy,99,0.006727094864045623,20.0
video107_final.mp4,Healthy,100,0.00720916046699135,20.0
video108_final.mp4,Healthy,1,0.0,20.0
video108_final.mp4,Healthy,2,0.03683849747564288,20.0
video108_final.mp4,Healthy,3,0.016924411364723998,20.0
video108_final.mp4,Healthy,4,0.023003807193917692,20.0
video108_final.mp4,Healthy,5,0.04652247231065049,20.0
video108_final.mp4,Healthy,6,0.02141660042114114,20.0
video108_final.mp4,Healthy,7,0.011640517927200543,20.0
video108_final.mp4,Healthy,8,0.02415951316200814,20.0
video108_final.mp4,Healthy,9,0.007725632151028204,20.0
video108_final.mp4,Healthy,10,0.017669962388633723,20.0
video108_final.mp4,Healthy,11,0.026381310263505247,20.0
video108_final.mp4,Healthy,12,0.010179220823831178,20.0
video108_final.mp4,Healthy,13,0.02466945881025273,20.0
video108_final.mp4,Healthy,14,0.039485506424536604,20.0
video108_final.mp4,Healthy,15,0.016572581670698108,20.0
video108_final.mp4,Healthy,16,0.00957061920559423,20.0
video108_final.mp4,Healthy,17,0.04339065726042434,20.0
video108_final.mp4,Healthy,18,0.033223877530123576,20.0
video108_final.mp4,Healthy,19,0.02195543710805392,20.0
video108_final.mp4,Healthy,20,0.010989274418920373,20.0
video108_final.mp4,Healthy,21,0.0256729553144262,20.0
video108_final.mp4,Healthy,22,0.009834773993995561,20.0
video108_final.mp4,Healthy,23,0.014046581867084228,20.0
video108_final.mp4,Healthy,24,0.03937332880378675,20.0
video108_final.mp4,Healthy,25,0.02713295663824962,20.0
video108_final.mp4,Healthy,26,0.01240632165305782,20.0
video108_final.mp4,Healthy,27,0.021981526277050478,20.0
video108_final.mp4,Healthy,28,0.017090848763458996,20.0
video108_final.mp4,Healthy,29,0.04658591659419026,20.0
video108_final.mp4,Healthy,30,0.037568785049749226,20.0
video108_final.mp4,Healthy,31,0.027003712065738705,20.0
video108_final.mp4,Healthy,32,0.02693423979908957,20.0
video108_final.mp4,Healthy,33,0.027625544481648612,20.0
video108_final.mp4,Healthy,34,0.03822234443347666,20.0
video108_final.mp4,Healthy,35,0.03031562649469699,20.0
video108_final.mp4,Healthy,36,0.04710211936119379,20.0
video108_final.mp4,Healthy,37,0.01836775131427962,20.0
video108_final.mp4,Healthy,38,0.05200588029175168,20.0
video108_final.mp4,Healthy,39,0.025171018689417676,20.0
video108_final.mp4,Healthy,40,0.04537626165996491,20.0
video108_final.mp4,Healthy,41,0.01314176126243193,20.0
video108_final.mp4,Healthy,42,0.006285592392928929,20.0
video108_final.mp4,Healthy,43,0.020627823228720737,20.0
video108_final.mp4,Healthy,44,0.037962583648592,20.0
video108_final.mp4,Healthy,45,0.02675044291831651,20.0
video108_final.mp4,Healthy,46,0.022074614055704486,20.0
video108_final.mp4,Healthy,47,0.019294731525803476,20.0
video108_final.mp4,Healthy,48,0.023885047157466935,20.0
video108_final.mp4,Healthy,49,0.026167715365309693,20.0
video108_final.mp4,Healthy,50,0.02960912918059629,20.0
video108_final.mp4,Healthy,51,0.03122189896252627,20.0
video108_final.mp4,Healthy,52,0.018484879021711528,20.0
video108_final.mp4,Healthy,53,0.02513778804849406,20.0
video108_final.mp4,Healthy,54,0.030052199448670755,20.0
video108_final.mp4,Healthy,55,0.032797410602593134,20.0
video108_final.mp4,Healthy,56,0.027363714292081606,20.0
video108_final.mp4,Healthy,57,0.010597503694370583,20.0
video108_final.mp4,Healthy,58,0.016302431545151146,20.0
video108_final.mp4,Healthy,59,0.027555120943321184,20.0
video108_final.mp4,Healthy,60,0.0252069530269023,20.0
video108_final.mp4,Healthy,61,0.016219744252832156,20.0
video108_final.mp4,Healthy,62,0.010557911740086958,20.0
video108_final.mp4,Healthy,63,0.012556454673994327,20.0
video108_final.mp4,Healthy,64,0.023043829549195594,20.0
video108_final.mp4,Healthy,65,0.010849786327566294,20.0
video108_final.mp4,Healthy,66,0.053253298815939654,20.0
video108_final.mp4,Healthy,67,0.030959182303884822,20.0
video108_final.mp4,Healthy,68,0.03139305550935812,20.0
video108_final.mp4,Healthy,69,0.008924778112826624,20.0
video108_final.mp4,Healthy,70,0.02466520302018298,20.0
video108_final.mp4,Healthy,71,0.012702157204771546,20.0
video108_final.mp4,Healthy,72,0.0022184020912136356,20.0
video108_final.mp4,Healthy,73,0.009161955686828052,20.0
video108_final.mp4,Healthy,74,0.00906639896424936,20.0
video108_final.mp4,Healthy,75,0.007238979181332207,20.0
video108_final.mp4,Healthy,76,0.015234445444810786,20.0
video108_final.mp4,Healthy,77,0.01017458572959353,20.0
video108_final.mp4,Healthy,78,0.02084699852563091,20.0
video108_final.mp4,Healthy,79,0.0056140660797052025,20.0
video108_final.mp4,Healthy,80,0.014821948907477065,20.0
video108_final.mp4,Healthy,81,0.015947930969882455,20.0
video108_final.mp4,Healthy,82,0.022808391021582042,20.0
video108_final.mp4,Healthy,83,0.018291182213095065,20.0
video108_final.mp4,Healthy,84,0.014684006763521383,20.0
video108_final.mp4,Healthy,85,0.01340092964364921,20.0
video108_final.mp4,Healthy,86,0.03409572514291807,20.0
video108_final.mp4,Healthy,87,0.020579817054292352,20.0
video108_final.mp4,Healthy,88,0.03616583529813522,20.0
video108_final.mp4,Healthy,89,0.008784950490969596,20.0
video108_final.mp4,Healthy,90,0.02575018004678235,20.0
video108_final.mp4,Healthy,91,0.04267410479197988,20.0
video108_final.mp4,Healthy,92,0.026266491109321236,20.0
video108_final.mp4,Healthy,93,0.015236120255761676,20.0
video108_final.mp4,Healthy,94,0.019608013825881426,20.0
video108_final.mp4,Healthy,95,0.008747097134944159,20.0
video108_final.mp4,Healthy,96,0.028549735065987087,20.0
video108_final.mp4,Healthy,97,0.014854076828047355,20.0
video108_final.mp4,Healthy,98,0.01859925032159764,20.0
video108_final.mp4,Healthy,99,0.026270646130976946,20.0
video108_final.mp4,Healthy,100,0.026762567410492332,20.0
video10_final.mp4,Healthy,1,0.0,20.0
video10_final.mp4,Healthy,2,0.012784734439004327,20.0
video10_final.mp4,Healthy,3,0.006573062587713678,20.0
video10_final.mp4,Healthy,4,0.004691137658604343,20.0
video10_final.mp4,Healthy,5,0.0028145693781956335,20.0
video10_final.mp4,Healthy,6,0.0058919076660203335,20.0
video10_final.mp4,Healthy,7,0.0034338330060472385,20.0
video10_final.mp4,Healthy,8,0.0050600131225560455,20.0
video10_final.mp4,Healthy,9,0.002195841848885026,20.0
video10_final.mp4,Healthy,10,0.012824360824602811,20.0
video10_final.mp4,Healthy,11,0.010976139596991724,20.0
video10_final.mp4,Healthy,12,0.018911157675641974,20.0
video10_final.mp4,Healthy,13,0.005010551856747847,20.0
