Video,Label,Frame,Jaw_Left_Mag,FPS
video107_final.mp4,Healthy,96,0.005962759587102042,20.0
video107_final.mp4,Healthy,97,0.02081844553035951,20.0
video107_final.mp4,Healthy,98,0.009340696392861437,20.0
video107_final.mp4,Healthy,99,0.016048582896056412,20.0
video107_final.mp4,Healthy,100,0.01932349672125727,20.0
video108_final.mp4,Healthy,1,0.0,20.0
video108_final.mp4,Healthy,2,0.027220035953872762,20.0
video108_final.mp4,Healthy,3,0.008790823743935548,20.0
video108_final.mp4,Healthy,4,0.06312544377480343,20.0
video108_final.mp4,Healthy,5,0.02739730062450476,20.0
video108_final.mp4,Healthy,6,0.0544731718952598,20.0
video108_final.mp4,Healthy,7,0.032230821377865884,20.0
video108_final.mp4,Healthy,8,0.029658357665335786,20.0
video108_final.mp4,Healthy,9,0.016721253097974766,20.0
video108_final.mp4,Healthy,10,0.016360438060590968,20.0
video108_final.mp4,Healthy,11,0.05221208453646483,20.0
video108_final.mp4,Healthy,12,0.015473050922400602,20.0
video108_final.mp4,Healthy,13,0.024500065138858128,20.0
video108_final.mp4,Healthy,14,0.04409829663147259,20.0
video108_final.mp4,Healthy,15,0.021975016776277174,20.0
video108_final.mp4,Healthy,16,0.025281709844081866,20.0
video108_final.mp4,Healthy,17,0.04323324963264459,20.0
video108_final.mp4,Healthy,18,0.0562888510660298,20.0
video108_final.mp4,Healthy,19,0.04661803214753123,20.0
video108_final.mp4,Healthy,20,0.010582840035177118,20.0
video108_final.mp4,Healthy,21,0.0193452068949655,20.0
video108_final.mp4,Healthy,22,0.009197575751239646,20.0
video108_final.mp4,Healthy,23,0.009241692003862021,20.0
video108_final.mp4,Healthy,24,0.06867856545806397,20.0
video108_final.mp4,Healthy,25,0.02730398006446384,20.0
video108_final.mp4,Healthy,26,0.0406558701855061,20.0
video108_final.mp4,Healthy,27,0.02490653511186685,20.0
video108_final.mp4,Healthy,28,0.03813643426605637,20.0
video108_final.mp4,Healthy,29,0.06157290524039346,20.0
video108_final.mp4,Healthy,30,0.043343298373056824,20.0
video108_final.mp4,Healthy,31,0.042023333516042025,20.0
video108_final.mp4,Healthy,32,0.06404067348606476,20.0
video108_final.mp4,Healthy,33,0.03310935679874916,20.0
video108_final.mp4,Healthy,34,0.06681384658823422,20.0
video108_final.mp4,Healthy,35,0.050110366800912576,20.0
video108_final.mp4,Healthy,36,0.06505064216255796,20.0
video108_final.mp4,Healthy,37,0.04440571614487955,20.0
video108_final.mp4,Healthy,38,0.05279892286754365,20.0
video108_final.mp4,Healthy,39,0.029983821663857227,20.0
video108_final.mp4,Healthy,40,0.03626875073783102,20.0
video108_final.mp4,Healthy,41,0.010203443888228343,20.0
video108_final.mp4,Healthy,42,0.029443698804002903,20.0
video108_final.mp4,Healthy,43,0.034189789151621755,20.0
video108_final.mp4,Healthy,44,0.06223247139757631,20.0
video108_final.mp4,Healthy,45,0.03780417516962114,20.0
video108_final.mp4,Healthy,46,0.03474663622223976,20.0
video108_final.mp4,Healthy,47,0.0217274114897267,20.0
video108_final.mp4,Healthy,48,0.01572026469618313,20.0
video108_final.mp4,Healthy,49,0.04579956746858936,20.0
video108_final.mp4,Healthy,50,0.02246035144795104,20.0
video108_final.mp4,Healthy,51,0.019761996460062083,20.0
video108_final.mp4,Healthy,52,0.03894093402136877,20.0
video108_final.mp4,Healthy,53,0.013987692974375287,20.0
video108_final.mp4,Healthy,54,0.0831270812336197,20.0
video108_final.mp4,Healthy,55,0.027504352101817016,20.0
video108_final.mp4,Healthy,56,0.04170029204976858,20.0
video108_final.mp4,Healthy,57,0.02119097826494265,20.0
video108_final.mp4,Healthy,58,0.014365766025819024,20.0
video108_final.mp4,Healthy,59,0.058351355553669194,20.0
video108_final.mp4,Healthy,60,0.05124674969279293,20.0
video108_final.mp4,Healthy,61,0.02192100452688056,20.0
video108_final.mp4,Healthy,62,0.040319012061197076,20.0
