Brow micro-expression variance mean,Brow micro-expression rapid changes count,Brow velocity (std),Right brow raise (mean),Left brow raise (mean),Left brow raise (std),Inner brow raise (mean),Inner brow raise (std),Brow asymmetry (mean),Temporal brow asymmetry variance,Brow frequency mean,Brow peak frequency,Brow Left surface vector magnitude mean,Brow Left surface variance (current),Brow Left surface variance std,Brow Left surface variance min,Brow Left surface variance max,Brow Left surface dominant angle mean,Brow Left surface dominant angle std,Brow Right surface vector magnitude mean,Brow Right surface variance (current),Brow Right surface variance mean,Brow Right surface variance min,Brow Right surface dominant angle mean,Brow Right surface dominant angle std,Cheek puff micro-expression variance mean,Cheek puff rapid changes count,Cheek raise (mean),Cheek velocity (mean),Cheek velocity (std),Cheek frequency mean,Cheek asymmetry (mean),Cheek Left surface vector magnitude mean,Cheek Left surface variance (current),Cheek Left surface variance mean,Cheek Left surface variance std,Cheek Left surface variance min,Cheek Left surface variance max,Cheek Left surface dominant angle mean,Cheek Left surface dominant angle std,Cheek Right surface vector magnitude mean,Cheek Right surface variance (current),Cheek Right surface variance mean,Cheek Right surface variance min,Cheek Right surface variance max,Cheek Right surface dominant angle mean,Cheek Right surface dominant angle std,Eye widening rapid changes count,Eye ratio (mean),Eye ratio (std),Blink rate,Eye squint velocity (mean),Eye squint velocity (std),Eye Left surface vector magnitude mean,Eye Left surface variance (current),Eye Left surface variance std,Eye Left surface variance min,Eye Left surface variance max,Eye Left surface dominant angle mean,Eye Right surface variance (current),Eye Right surface variance mean,Eye Right surface variance std,Eye Right surface variance min,Eye Right surface variance max,Eye Right surface dominant angle mean,Jaw opening (mean),Jaw opening (std),Jaw opening (min),Jaw velocity (mean),Jaw velocity (std),Jaw asymmetry (mean),Jaw asymmetry (max),Jaw rapid changes count,Jaw frequency mean,Jaw peak frequency,Jaw Left surface variance (current),Jaw Left surface variance min,Jaw Left surface dominant angle mean,Jaw Left surface dominant angle std,Jaw Right surface vector magnitude mean,Jaw Right surface variance (current),Jaw Right surface variance std,Jaw Right surface variance min,Jaw Right surface variance max,Jaw Right surface dominant angle mean,Jaw Right surface dominant angle std,Lip micro-expression rapid changes count,Lip opening (mean),Lip opening (min),Lip opening (max),Lip velocity (std),Lip significant movements count,Lip frequency mean,Lip peak frequency,Lip corner asymmetry (mean),Lip corner asymmetry (max),Lip Left surface vector magnitude mean,Lip Left surface variance (current),Lip Left surface variance mean,Lip Left surface variance std,Lip Left surface variance min,Lip Left surface variance max,Lip Left surface dominant angle mean,Lip Left surface dominant angle std,Lip Right surface variance (current),Lip Right surface variance min,Lip Right surface dominant angle mean,Lip Right surface dominant angle std,Mouth micro-expression rapid changes count,Mouth opening (mean),Mouth opening (min),Mouth opening (max),Mouth velocity (std),Mouth significant movements count,Mouth frequency mean,Mouth peak frequency,Mouth corner asymmetry (mean),Mouth corner asymmetry (max),Mouth Left surface vector magnitude mean,Mouth Left surface variance (current),Mouth Left surface variance mean,Mouth Left surface variance min,Mouth Left surface variance max,Mouth Left surface dominant angle mean,Mouth Left surface dominant angle std,Mouth Right surface vector magnitude mean,Mouth Right surface variance (current),Mouth Right surface variance std,Mouth Right surface variance min,Mouth Right surface dominant angle mean,Mouth Right surface dominant angle std
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.10513158509415144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.1438948064684675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.643647104779692e-05,0,0.008150857074430695,0.7345305615483355,0.6402759481933937,0.0027123712048258697,0.6060152271853929,0.006951432702202387,0.08337764161573213,0.00011830851421556543,0.0,0.0,0.02251588138373281,3.599875302843026e-05,1.799937651421513e-05,0.0,3.599875302843026e-05,1.02038002768242,1.02038002768242,0.04472697834833192,4.7056250221072266e-06,2.3528125110536133e-06,0.0,0.9467900218966316,0.9467900218966316,6.867501864087868e-09,0,-0.5411662956740833,8.287039196291923e-05,8.287039196291923e-05,0.0,1.1422288423467177,0.005822479223908715,9.221822997189424e-06,4.610911498594712e-06,4.610911498594712e-06,0.0,9.221822997189424e-06,-0.9803782663104827,0.9803782663104827,0.007508872644881165,5.431233919360305e-06,2.7156169596801523e-06,0.0,5.431233919360305e-06,-1.3932695236785722,1.3932695236785722,0,0.11829008976735186,0.048709771000735896,0.5,0.04870977100073589,0.04870977100073589,0.02195574682042918,2.36378339673799e-05,1.181891698368995e-05,0.0,2.36378339673799e-05,0.9336133616445526,7.65443143810056e-05,3.82721571905028e-05,3.82721571905028e-05,0.0,7.65443143810056e-05,0.9263261200195545,0.27627611972470795,0.03611418781721866,0.24016193190748927,0.03611418781721866,0.03611418781721866,0.8238064218098797,0.8238064218098797,0,0.0,0.0,9.878833819093302e-07,0.0,1.3092386258753694,1.3092386258753694,0.011149790603890456,1.9313854327411546e-06,9.656927163705773e-07,0.0,1.9313854327411546e-06,1.4680265968448207,1.4680265968448207,0,0.039801621241298504,0.02571273350350238,0.05389050897909463,0.014088887737796124,1,0.0,0.0,0.00884646415399637,0.00884646415399637,0.04934089742378517,0.00017976909174967972,8.988454587483986e-05,8.988454587483986e-05,0.0,0.00017976909174967972,-1.2900621006130515,1.2900621006130515,0.00011950126462417581,0.0,-1.32826569700219,1.32826569700219,0,0.039801621241298504,0.02571273350350238,0.05389050897909463,0.014088887737796124,1,0.0,0.0,0.00884646415399637,0.00884646415399637,0.05093203678791919,0.0001607753882676737,8.038769413383685e-05,0.0,0.0001607753882676737,-1.332758575430651,1.332758575430651,0.03298337790165861,0.00013477535646424116,6.738767823212058e-05,0.0,-1.3394745255011635,1.3394745255011635
4.748945850873899e-05,1,0.006891259573455276,0.7329495691375496,0.6393277202459634,0.002588998039606856,0.6055774482469205,0.0057094872980656165,0.09235631996487492,7.96731245425484e-05,0.0,0.0,0.006904307495711097,7.984766466996196e-07,1.6784937830975673e-05,0.0,3.599875302843026e-05,0.6811354132152574,0.9614004112848775,0.018781502684200844,2.792052513075945e-06,2.4992258450610573e-06,0.0,-0.24911957174786936,1.859571745335628,1.0886814458322895e-06,0,-0.541902537180403,0.000819111898282765,0.00104339898688483,0.0,1.1620831984060782,0.021588195977970112,1.626847546182297e-05,8.496766153004132e-06,6.661336404128878e-06,0.0,1.626847546182297e-05,-0.25482226448662315,1.3013931203142326,0.019046208844671408,3.9128170705252744e-05,1.4853134874871017e-05,0.0,3.9128170705252744e-05,-0.7556503194374966,1.4516369414015757,1,0.10271576406904576,0.04546295674366759,0.6666666666666666,0.03313544530242978,0.04546295674366759,0.002362950358663578,4.292942890196947e-07,1.1043186950725289e-05,0.0,2.36378339673799e-05,1.0361848279185606,2.130014486733385e-06,2.6224776289246326e-05,3.559191083897606e-05,0.0,7.65443143810056e-05,-0.13900314353538748,0.27333379121418916,0.029779259593311805,0.24016193190748927,0.03905651632773744,0.02977925959331181,0.8217152374553329,0.8217152374553329,1,0.0,0.0,6.288710472539785e-07,0.0,1.0845452191003453,1.115218113383663,0.01910329939433515,8.53097465175968e-07,7.902692871483927e-07,0.0,1.9313854327411546e-06,1.116961053795733,1.2973930618983178,1,0.03657304273654516,0.02571273350350238,0.05389050897909463,0.012376534656957037,2,0.0,0.0,0.023297855399379563,0.023297855399379563,0.022177452395667416,0.0001914998747909534,0.00012375632218021104,8.763988162691498e-05,0.0,0.0001914998747909534,-0.676629095989176,1.3645903846756324,0.00010242123262611527,0.0,-0.7582025844036778,1.351346394987662,1,0.03657304273654516,0.02571273350350238,0.05389050897909463,0.012376534656957037,2,0.0,0.0,0.023297855399379563,0.023297855399379563,0.024257044360792724,0.00021138205980761833,0.000124052482691764,0.0,0.00021138205980761833,-0.7559122500378664,1.3600246247136882,0.033288806490634724,0.00010283860594827682,5.75037502322599e-05,0.0,-0.775661822924644,1.3534760914589476
5.118171512939708e-05,1,0.005969461363664942,0.730460521048687,0.6372612411062326,0.004223528292984934,0.6036402891037489,0.005975486636500772,0.09193157309505873,6.0290536957222515e-05,0.0,0.0,0.014941662116516116,6.566406726767396e-06,1.4744187340775939e-05,0.0,3.599875302843026e-05,1.031087930408221,1.0298632705282402,0.010781884843279464,5.688416705490157e-07,2.0166298014330468e-06,0.0,0.08637908166303315,1.7120699011312395,1.2026272528903484e-06,0,-0.5415437818466373,0.00134121001063775,0.001278385857692478,0.0,1.1768752897419494,0.007049128433854004,1.9468607686672493e-06,6.859289806919911e-06,6.428377584483155e-06,0.0,1.626847546182297e-05,0.18123006322543195,1.3567029659104513,0.009881331176966322,1.9662052784969872e-05,1.605536435239573e-05,0.0,3.9128170705252744e-05,-0.5554226447533479,1.3041130021434322,1,0.10099208288972517,0.03948510551247489,0.75,0.030915065646654798,0.03955945632026281,0.011309212918463837,3.792591236163909e-08,1.016943358195411e-05,0.0,2.36378339673799e-05,1.2440809489147875,2.521128944863861e-06,2.029886445315071e-05,3.248749576598281e-05,0.0,7.65443143810056e-05,-0.11399261322535059,0.2685652186434174,0.027079901763716576,0.24016193190748927,0.03258979556131545,0.028116874983842178,0.8274663971853856,0.8274663971853856,1,0.0,0.0,1.8553294573008268e-06,0.0,1.034696315893324,0.9696588677298277,0.011382860581249704,1.7400176464724932e-05,7.165351484435158e-06,0.0,1.7400176464724932e-05,0.9704219455675109,1.1518865823150242,1,0.03185351396257448,0.01769492764066243,0.05389050897909463,0.010926088898105084,3,0.0,0.0,0.003136923471052211,0.003136923471052211,0.018289060917273885,2.7175284030760828e-05,9.961106264284849e-05,8.665761543606278e-05,0.0,0.0001914998747909534,-0.3685195561517417,1.29667831557345,1.4288368004587745e-06,0.0,-0.5794266081143369,1.210572326847609,1,0.03185351396257448,0.01769492764066243,0.05389050897909463,0.010926088898105084,3,0.0,0.0,0.003136923471052211,0.003136923471052211,0.0185925701238097,3.1903370310520986e-05,0.00010101520459645326,0.0,0.00021138205980761833,-0.4442946771143142,1.2955951412902884,0.035194632032091805,3.2086917142531804e-06,5.968999832635224e-05,0.0,-0.5997381179864341,1.2111030499056639
5.213565978125929e-05,2,0.005741855187098731,0.7294403796670638,0.634936193752113,0.005991154629027048,0.6021713451010366,0.006098880091198483,0.09972380980493689,5.504354795400633e-05,0.0,0.0,0.011150158436201882,7.778737044498317e-06,1.3244363023716242e-05,0.0,3.599875302843026e-05,1.201230425943389,0.9819819549942032,0.011094202597933152,7.915847129741554e-06,3.1964732670947478e-06,0.0,0.03757089495834451,1.5344300679552734,8.130197220944037e-06,0,-0.5402051168942844,0.0021963797606036283,0.00205734720597796,0.0,1.18671294176051,0.01629989398930874,2.1242048154451973e-06,5.912272808624969e-06,6.053643157239005e-06,0.0,1.626847546182297e-05,0.24314888592342157,1.2197746154865627,0.012739939882066363,3.448939859409537e-06,1.353407945379849e-05,0.0,3.9128170705252744e-05,-0.4404913484640628,1.18886727154657,2,0.0990643062197286,0.03552638649542832,0.8,0.025625620479728044,0.03693065648183801,0.014208230684906984,1.590606744079455e-07,9.393708246528363e-06,0.0,2.36378339673799e-05,1.1155587154327096,1.1595804704985555e-05,1.855825250351768e-05,2.9265488629999352e-05,0.0,7.65443143810056e-05,-0.026097394684454146,0.26176835273749993,0.027774924089871537,0.23458088911382996,0.03000755881250679,0.02567330741437885,0.8253217494351529,0.8253217494351529,1,0.0,0.0,1.6322071446767119e-06,0.0,0.8319030126277728,0.9574398943072554,0.006947177730876564,8.086366538073915e-06,6.523240125440007e-06,0.0,1.7400176464724932e-05,0.762570146161963,1.1109831865867308,1,0.028325899759072314,0.014215442945063658,0.05389050897909463,0.010998228356189955,4,0.0,0.0,0.0060120324620805965,0.0060120324620805965,0.012388512692802698,4.560532292455677e-06,8.060095657276992e-05,8.633174608238956e-05,0.0,0.0001914998747909534,-0.20610176928598306,1.204415988445937,9.283256084625921e-06,0.0,-0.34394801170528105,1.1807577923903374,1,0.028325899759072314,0.014215442945063658,0.05389050897909463,0.010998228356189955,4,0.0,0.0,0.0060120324620805965,0.0060120324620805965,0.011233385379541794,4.594264723521936e-06,8.173101662186699e-05,0.0,0.00021138205980761833,-0.30901882062724245,1.189979682810276,0.008822547372499939,8.200964543709285e-06,5.7297774082881e-05,0.0,-0.37679541448673054,1.171422329549709
4.3651747660937325e-05,2,0.005302591854441943,0.7304041415921918,0.6343777608389126,0.005609888419878486,0.6025632209486328,0.005636025375977317,0.10363735494492032,5.745500892417112e-05,0.0,0.0,0.027064082028328496,1.3085355164524127e-06,1.2539073520792362e-05,0.0,3.599875302843026e-05,0.6940046443358386,1.4456706981820409,0.03267089214597258,1.3056515022543016e-06,2.881336306288007e-06,0.0,-0.4372822903442153,1.757694730557885,2.809712556003905e-05,0,-0.5381400764002867,0.003002913659598853,0.002603788763084151,0.0,1.1799486453516406,0.02051099058719489,5.743256207899271e-06,5.884103375170685e-06,5.526553822008903e-06,0.0,1.626847546182297e-05,-0.11691181547807476,1.3740791961491332,0.040714725549957434,3.491690899880923e-05,1.709788437796695e-05,0.0,3.9128170705252744e-05,-0.7459824887859385,1.2823657857795312,2,0.09915582426503629,0.032431651087816635,0.8333333333333334,0.022731386225078764,0.03432847384344658,0.024045177338601825,4.2190325968488766e-07,8.732789241897794e-06,0.0,2.36378339673799e-05,0.5382917897012867,5.412471265676483e-06,1.6367288963877482e-05,2.7161105036197408e-05,0.0,7.65443143810056e-05,-0.430386082780539,0.26326554722748136,0.02557498706814777,0.23458088911382996,0.031034737437682078,0.023548695808920817,0.828237516928084,0.828237516928084,1,0.0,0.0,1.2413608706578878e-05,0.0,0.3619471931465883,1.3668217345349265,0.04144577821997715,9.645728227507381e-06,6.137863212182581e-06,0.0,1.7400176464724932e-05,0.2737158449548445,1.491127875058174,1,0.03238643704848889,0.014215442945063658,0.05389050897909463,0.013672413230433876,5,0.0,0.0,0.005195023354997108,0.005195023354997108,0.036563680360915354,0.00015940803541103003,9.373546971247995e-05,8.410441424274093e-05,0.0,0.0001914998747909534,-0.572350518343738,1.3709627852785384,3.524008323754751e-05,0.0,-0.7017529410409163,1.3423658123600837,1,0.03238643704848889,0.014215442945063658,0.05389050897909463,0.013672413230433876,5,0.0,0.0,0.005195023354997108,0.005195023354997108,0.033639976479794456,0.00011817553003362497,8.780510219049332e-05,0.0,0.00021138205980761833,-0.6567897510424777,1.3359513981156264,0.045850619179766225,4.507946588664734e-05,5.2335108184927535e-05,0.0,-0.7376636186344845,1.339647167091836
4.5057556762402484e-05,3,0.004916707224662078,0.7318289170691271,0.6352100886756707,0.005579572601019045,0.6038967851820943,0.006156079712101266,0.10017351423451937,5.1353115744541475e-05,0.0,0.0,0.01580858181981908,2.4405911443388664e-07,1.1983715798601175e-05,0.0,3.599875302843026e-05,0.4952888335319047,1.4241928787391134,0.01962508503959593,2.5811573429117814e-06,2.8384535972342602e-06,0.0,-0.4163231493038948,1.6281187474197663,5.904256959305683e-05,1,-0.5357262509746389,0.00351272249530559,0.0027148877270418027,0.0,1.1885404955884293,0.008055658500385882,4.90713944190698e-06,5.7445370989901564e-06,5.1280028163873625e-06,0.0,1.626847546182297e-05,-0.10884995519251771,1.272303397923409,0.01707288518461495,3.065974090062124e-06,1.5093325765409115e-05,0.0,3.9128170705252744e-05,-0.6086621534915518,1.2339692505785065,2,0.09566156395196776,0.03122198371427614,0.8571428571428571,0.02304367568121296,0.03179119540309978,0.01872871677146806,2.246721893207758e-06,8.111361943304354e-06,0.0,2.36378339673799e-05,0.33857924873689915,1.8576826415734697e-06,1.4294488060691194e-05,2.565375748379781e-05,0.0,7.65443143810056e-05,-0.42358595118087145,0.2644446026078456,0.02385332258375915,0.23458088911382996,0.026710834262676425,0.02423835293146886,0.8273067082135046,0.8273067082135046,2,0.0,0.0,4.02685202996633e-10,0.0,0.4004005144337273,1.268931696717411,0.013576077319192664,5.602041297992544e-06,5.688099735090332e-06,0.0,1.7400176464724932e-05,0.31088272727462224,1.3835147724231036,2,0.035118951662437205,0.014215442945063658,0.05389050897909463,0.013919510879286803,6,0.0,0.0,0.005487301836755054,0.005487301836755054,0.007598623073920174,1.9676130535582882e-07,8.037279708289079e-05,8.446544331645878e-05,0.0,0.0001914998747909534,-0.41254016838920415,1.3282580625832,1.8594319491956628e-06,0.0,-0.5444246081179727,1.301168070150378,2,0.035118951662437205,0.014215442945063658,0.05389050897909463,0.013919510879286803,6,0.0,0.0,0.005487301836755054,0.005487301836755054,0.007444631447028624,2.889152227251507e-07,7.530278976652645e-05,0.0,0.00021138205980761833,-0.49860001945118887,1.296126341855464,0.009605422530473471,2.40523794090137e-06,5.1124599360046214e-05,0.0,-0.5763428670305084,1.3016995132464384
3.969428663550055e-05,3,0.0046115138757426765,0.7319834843150874,0.6354475305173588,0.005256883773308742,0.6041521819027992,0.005797994923993482,0.09595583162763555,4.4982053666792876e-05,0.0,0.0,0.015254674902779219,1.1598711632502203e-06,1.140585594841296e-05,0.0,3.599875302843026e-05,0.5659867894036045,1.3452777011163384,0.01985494247533245,1.680854971145668e-06,2.6937537689731866e-06,0.0,-0.312886107922723,1.5473586767278866,8.676186727787242e-05,1,-0.5334870030497463,0.0035025110390490277,0.002539688635641993,0.0,1.2047379232799749,0.010623101618957471,4.063833845905195e-07,5.077267884690201e-06,5.111369552745572e-06,0.0,1.626847546182297e-05,0.040700355578370345,1.254180414646635,0.015539642311177057,4.103117828800229e-06,1.3719549773333004e-05,0.0,3.9128170705252744e-05,-0.5039595119707212,1.1870482717403272,3,0.0949982454275905,0.029258172771486995,0.875,0.02212059293148548,0.02983805731533513,0.012955647812127435,3.87332419373505e-07,7.67329557914937e-06,0.0,2.36378339673799e-05,0.41426764321657905,3.192690398909268e-06,1.2906763352968452e-05,2.427614720170382e-05,0.0,7.65443143810056e-05,-0.33093955241164524,0.2631842006216955,0.02256055552654017,0.23458088911382996,0.025516673501265113,0.022891978359139264,0.8293977660927236,0.8293977660927236,2,0.0,0.0,2.2385228823331996e-07,0.0,0.4697434295933408,1.2010717188191533,0.01321677788290175,2.991448296263236e-07,5.669263963535218e-06,0.0,1.7400176464724932e-05,0.3136466048137073,1.2941802262270856,2,0.03682010369189637,0.014215442945063658,0.05389050897909463,0.013668196601220674,7,0.0,0.0,0.023391122172015444,0.023391122172015444,0.01147786430795116,1.4622853841449084e-06,7.050898312054755e-05,8.320861437676506e-05,0.0,0.0001914998747909534,-0.2129247305636494,1.3500592790107893,2.283422930919942e-06,0.0,-0.38493359155231355,1.2882042710640005,2,0.03682010369189637,0.014215442945063658,0.05389050897909463,0.013668196601220674,7,0.0,0.0,0.023391122172015444,0.023391122172015444,0.012570088905844415,6.948408306328596e-06,6.675849208400171e-05,0.0,0.00021138205980761833,-0.33961897054465784,1.2833064227514486,0.02424013930398192,1.9218435388533786e-06,4.965731756508545e-05,0.0,-0.41240871572259696,1.2925709890342887
3.8736196253547745e-05,3,0.004375173545935653,0.7328437448867717,0.6359011165712136,0.005119591110438474,0.6049400724850906,0.00590319606583312,0.10019602445819398,4.1307121011430595e-05,0.0,0.0,0.016013603068916686,1.9028062584033588e-07,1.0948292130385572e-05,0.0,3.599875302843026e-05,0.2374763347907282,1.5722720042397211,0.017371889235680095,7.12483642174308e-07,2.473612643773311e-06,0.0,-0.5797305502285988,1.642538004147073,9.192479221665905e-05,1,-0.5321267120691971,0.0034946894401886525,0.0023945436053545996,0.0,1.1918769096193071,0.010120732574075447,6.199807163696736e-06,5.201994471246483e-06,4.831940875031971e-06,0.0,1.626847546182297e-05,-0.18573551537170851,1.3447601505628322,0.013897177109889438,4.697596982076614e-06,1.2717110574304516e-05,0.0,3.9128170705252744e-05,-0.753014005267675,1.322400801614437,3,0.09468526752248674,0.027599070361927148,0.8888888888888888,0.01986568577517676,0.028845506037900523,0.0157517882285623,5.7768587115483886e-08,7.310984456474868e-06,0.0,2.36378339673799e-05,0.08007901426539367,1.2840140477925439e-06,1.1615346763504463e-05,2.317740536195979e-05,0.0,7.65443143810056e-05,-0.5879929939113031,0.26644773464205634,0.023186865139740435,0.23458088911382996,0.026925334232935413,0.021947444269493726,0.8225022101485748,0.8225022101485748,2,0.0,0.0,4.155821124594521e-06,0.0,0.1491032043016443,1.45078206049111,0.01208641225143009,2.5006496397292524e-07,5.591778535695046e-06,0.0,1.7400176464724932e-05,-0.07025628437305063,1.633356547560378,2,0.03958366653623962,0.014215442945063658,0.06169216929098557,0.012889087965281654,8,0.0,0.0,0.022025114525094036,0.022025114525094036,0.0229002719350706,5.960482427822047e-05,6.929740991584454e-05,7.852464407602314e-05,0.0,0.0001914998747909534,-0.4677696452103635,1.4627746637537098,4.8688518219025016e-05,0.0,-0.6532118545852809,1.4320860563004376,2,0.03958366653623962,0.014215442945063658,0.06169216929098557,0.012889087965281654,8,0.0,0.0,0.022025114525094036,0.022025114525094036,0.026147710118480664,9.557580347919575e-05,6.996041557235661e-05,0.0,0.00021138205980761833,-0.5930377961780561,1.4062922994231053,0.03364281296480992,5.097884854524421e-05,4.701420898159087e-05,0.0,-0.6764424545611323,1.4292699298433083
4.7350680598428444e-05,3,0.004154570189752102,0.7336132203881088,0.6374875418384184,0.0067999924985328065,0.6062278743475201,0.006803591268175417,0.08877313065688164,4.318307118984843e-05,1.3874813945321267,6.855503811132635,0.02106202231344159,5.82728613969713e-07,1.0513072621386719e-05,0.0,3.599875302843026e-05,0.1427415885113832,1.5184226615662377,0.03333524965636418,1.1899554658112684e-06,2.345246925977107e-06,0.0,-0.5261403066385678,1.5665200967217288,0.0001417731618723073,1,-0.5295654439614619,0.004618255819465733,0.00406473465898162,1.0871182704740678,1.2058099583953843,0.015185792811647586,6.148080616525294e-06,5.296603085774364e-06,4.592760005411802e-06,0.0,1.626847546182297e-05,-0.23731478584872895,1.2851014226799644,0.021544836644412053,4.5191327919707486e-06,1.189731279607114e-05,0.0,3.9128170705252744e-05,-0.6925660400038998,1.2675784396400211,3,0.09419821665404611,0.02622351584540837,0.9,0.018115785742016704,0.02786424676639909,0.015734605514498495,8.89807511920605e-08,6.99215732100313e-06,0.0,2.36378339673799e-05,0.02027349765376941,8.314212469369491e-07,1.053695421184771e-05,2.22247448093462e-05,0.0,7.65443143810056e-05,-0.5449245723288587,0.27036969969493524,0.024946020371828595,0.23458088911382996,0.025543938646232077,0.021229591679279906,0.8266392776365343,0.8266392776365343,3,0.6019652879016661,2.703696996949352,3.3237349592384054e-06,0.0,0.08340500217570249,1.3903733355476067,0.01096743125423548,7.251835060220542e-06,5.351681611689876e-06,0.0,1.7400176464724932e-05,-0.0756596916483057,1.5496228643138181,3,0.04257151505438049,0.014215442945063658,0.06946215171764834,0.012356165970522607,9,0.12763824263500761,0.4257151505438049,0.007279412059187695,0.007279412059187695,0.013378475670739905,3.651648386214433e-05,6.601931731047452e-05,7.514133865392565e-05,0.0,0.0001914998747909534,-0.358303321147214,1.4260380886087465,6.843842322348075e-05,0.0,-0.5872907475495162,1.3729143296508024,3,0.04257151505438049,0.014215442945063658,0.06946215171764834,0.012356165970522607,9,0.12763824263500761,0.4257151505438049,0.007279412059187695,0.007279412059187695,0.011574079587981569,2.903085038026858e-05,6.58674590531478e-05,0.0,0.00021138205980761833,-0.2936824987912811,1.608233370794417,0.01535261942640647,7.83170820242556e-05,4.614846797690884e-05,0.0,-0.5774017323695164,1.3880968485624474
