Video,Label,Frame,Eye_Left_Mag,FPS
video107_final.mp4,Healthy,96,0.0088824017983307,20.0
video107_final.mp4,Healthy,97,0.009885661812336575,20.0
video107_final.mp4,Healthy,98,0.0035788239236969996,20.0
video107_final.mp4,Healthy,99,0.009020761425370933,20.0
video107_final.mp4,Healthy,100,0.006835646274122303,20.0
video108_final.mp4,Healthy,1,0.0,20.0
video108_final.mp4,Healthy,2,0.04299138641667775,20.0
video108_final.mp4,Healthy,3,0.015045130262936615,20.0
video108_final.mp4,Healthy,4,0.043168907596917376,20.0
video108_final.mp4,Healthy,5,0.045902700985778866,20.0
video108_final.mp4,Healthy,6,0.049063369536198546,20.0
video108_final.mp4,Healthy,7,0.02195576558525719,20.0
video108_final.mp4,Healthy,8,0.027249936928296446,20.0
video108_final.mp4,Healthy,9,0.0057495973474200705,20.0
video108_final.mp4,Healthy,10,0.019442915149313,20.0
video108_final.mp4,Healthy,11,0.021935596944636152,20.0
video108_final.mp4,Healthy,12,0.011688615162568201,20.0
video108_final.mp4,Healthy,13,0.019391047979824546,20.0
video108_final.mp4,Healthy,14,0.04582532589178647,20.0
video108_final.mp4,Healthy,15,0.022074462928671653,20.0
video108_final.mp4,Healthy,16,0.014788176299023535,20.0
video108_final.mp4,Healthy,17,0.06503744741003283,20.0
video108_final.mp4,Healthy,18,0.04832409487508502,20.0
video108_final.mp4,Healthy,19,0.030946478552620015,20.0
video108_final.mp4,Healthy,20,0.013047433542426386,20.0
video108_final.mp4,Healthy,21,0.029641310472546964,20.0
video108_final.mp4,Healthy,22,0.011947935048975511,20.0
video108_final.mp4,Healthy,23,0.013910954378850615,20.0
video108_final.mp4,Healthy,24,0.042175955718511925,20.0
video108_final.mp4,Healthy,25,0.032140054181267606,20.0
video108_final.mp4,Healthy,26,0.01239112124552684,20.0
video108_final.mp4,Healthy,27,0.025084243456695427,20.0
video108_final.mp4,Healthy,28,0.03180486484443508,20.0
video108_final.mp4,Healthy,29,0.03105505839962859,20.0
video108_final.mp4,Healthy,30,0.04139461876524092,20.0
video108_final.mp4,Healthy,31,0.037797679211279515,20.0
video108_final.mp4,Healthy,32,0.049965149966614365,20.0
video108_final.mp4,Healthy,33,0.04107432784239761,20.0
video108_final.mp4,Healthy,34,0.03018957977811093,20.0
video108_final.mp4,Healthy,35,0.01994410765406242,20.0
video108_final.mp4,Healthy,36,0.022939271294536833,20.0
video108_final.mp4,Healthy,37,0.014639979035916075,20.0
video108_final.mp4,Healthy,38,0.059903213130682864,20.0
video108_final.mp4,Healthy,39,0.028459793427680385,20.0
video108_final.mp4,Healthy,40,0.06114580474759069,20.0
video108_final.mp4,Healthy,41,0.017793013730143532,20.0
video108_final.mp4,Healthy,42,0.01724994606638902,20.0
video108_final.mp4,Healthy,43,0.02980263216030937,20.0
video108_final.mp4,Healthy,44,0.033931804358853394,20.0
video108_final.mp4,Healthy,45,0.023634009760517313,20.0
video108_final.mp4,Healthy,46,0.014402732356661086,20.0
video108_final.mp4,Healthy,47,0.015489508674095988,20.0
video108_final.mp4,Healthy,48,0.02625921562948121,20.0
video108_final.mp4,Healthy,49,0.02092502994969091,20.0
video108_final.mp4,Healthy,50,0.03787763303725498,20.0
video108_final.mp4,Healthy,51,0.030276949511895,20.0
video108_final.mp4,Healthy,52,0.04199721035173091,20.0
video108_final.mp4,Healthy,53,0.02742644923335749,20.0
video108_final.mp4,Healthy,54,0.016409585497431937,20.0
video108_final.mp4,Healthy,55,0.03582504868399278,20.0
video108_final.mp4,Healthy,56,0.04355647129187257,20.0
video108_final.mp4,Healthy,57,0.013560618851444349,20.0
video108_final.mp4,Healthy,58,0.01642789589528344,20.0
video108_final.mp4,Healthy,59,0.05535363805483023,20.0
video108_final.mp4,Healthy,60,0.023956448520487724,20.0
video108_final.mp4,Healthy,61,0.021096191469114345,20.0
video108_final.mp4,Healthy,62,0.015420828790754466,20.0
video108_final.mp4,Healthy,63,0.01848248574332471,20.0
video108_final.mp4,Healthy,64,0.020107292618495618,20.0
video108_final.mp4,Healthy,65,0.013908635503296823,20.0
video108_final.mp4,Healthy,66,0.042646306332745104,20.0
video108_final.mp4,Healthy,67,0.02946500085857154,20.0
video108_final.mp4,Healthy,68,0.03764637492486982,20.0
video108_final.mp4,Healthy,69,0.011629609463464726,20.0
video108_final.mp4,Healthy,70,0.02421259514237967,20.0
video108_final.mp4,Healthy,71,0.010235197309913518,20.0
video108_final.mp4,Healthy,72,0.005263812958437139,20.0
video108_final.mp4,Healthy,73,0.014202258672049412,20.0
video108_final.mp4,Healthy,74,0.007435889874778717,20.0
video108_final.mp4,Healthy,75,0.009443333934714648,20.0
video108_final.mp4,Healthy,76,0.021674287694010665,20.0
video108_final.mp4,Healthy,77,0.013426639194647707,20.0
video108_final.mp4,Healthy,78,0.022931794409851967,20.0
video108_final.mp4,Healthy,79,0.007112483226920204,20.0
video108_final.mp4,Healthy,80,0.01515676785865186,20.0
video108_final.mp4,Healthy,81,0.016308199060898646,20.0
video108_final.mp4,Healthy,82,0.019838858671511004,20.0
video108_final.mp4,Healthy,83,0.020701521610020597,20.0
video108_final.mp4,Healthy,84,0.010853016545050963,20.0
video108_final.mp4,Healthy,85,0.01824922554513942,20.0
video108_final.mp4,Healthy,86,0.037839311478331895,20.0
video108_final.mp4,Healthy,87,0.017339310715665218,20.0
video108_final.mp4,Healthy,88,0.0406900731143189,20.0
video108_final.mp4,Healthy,89,0.005836461979913072,20.0
video108_final.mp4,Healthy,90,0.04059184115924861,20.0
video108_final.mp4,Healthy,91,0.03986865380585353,20.0
video108_final.mp4,Healthy,92,0.03911507537738531,20.0
video108_final.mp4,Healthy,93,0.008430024736992643,20.0
video108_final.mp4,Healthy,94,0.025459710158396303,20.0
video108_final.mp4,Healthy,95,0.0117859720249503,20.0
video108_final.mp4,Healthy,96,0.025603167761807166,20.0
video108_final.mp4,Healthy,97,0.018993481211426414,20.0
video108_final.mp4,Healthy,98,0.018969438235615754,20.0
video108_final.mp4,Healthy,99,0.029463960405730436,20.0
video108_final.mp4,Healthy,100,0.022092867594252885,20.0
video10_final.mp4,Healthy,1,0.0,20.0
video10_final.mp4,Healthy,2,0.015909010979413232,20.0
video10_final.mp4,Healthy,3,0.002188944833811311,20.0
video10_final.mp4,Healthy,4,0.0018258751197912314,20.0
video10_final.mp4,Healthy,5,0.0046277053366520545,20.0
video10_final.mp4,Healthy,6,0.007214443279228417,20.0
video10_final.mp4,Healthy,7,0.0050910107977189725,20.0
video10_final.mp4,Healthy,8,0.007139696466347468,20.0
video10_final.mp4,Healthy,9,0.0027136959577667742,20.0
video10_final.mp4,Healthy,10,0.015510548510156036,20.0
video10_final.mp4,Healthy,11,0.007745145724139055,20.0
video10_final.mp4,Healthy,12,0.00941644444833976,20.0
video10_final.mp4,Healthy,13,0.005516054783639067,20.0
video10_final.mp4,Healthy,14,0.004553246833561066,20.0
video10_final.mp4,Healthy,15,0.004908185390965813,20.0
video10_final.mp4,Healthy,16,0.004160671025056186,20.0
video10_final.mp4,Healthy,17,0.0034013202971447873,20.0
video10_final.mp4,Healthy,18,0.008366647646158354,20.0
video10_final.mp4,Healthy,19,0.005902813782850874,20.0
video10_final.mp4,Healthy,20,0.007345306889270401,20.0
video10_final.mp4,Healthy,21,0.00526507604794788,20.0
video10_final.mp4,Healthy,22,0.007110123868967451,20.0
video10_final.mp4,Healthy,23,0.00528120976199034,20.0
video10_final.mp4,Healthy,24,0.0034639387830152496,20.0
video10_final.mp4,Healthy,25,0.004314053362629466,20.0
video10_final.mp4,Healthy,26,0.009452226653486735,20.0
video10_final.mp4,Healthy,27,0.006997822117497812,20.0
video10_final.mp4,Healthy,28,0.006423682563321311,20.0
video10_final.mp4,Healthy,29,0.010195440973702117,20.0
video10_final.mp4,Healthy,30,0.008127596032306115,20.0
video10_final.mp4,Healthy,31,0.008899453483256764,20.0
video10_final.mp4,Healthy,32,0.0076337976885520265,20.0
video10_final.mp4,Healthy,33,0.00671295023454267,20.0
video10_final.mp4,Healthy,34,0.007115063298586316,20.0
video10_final.mp4,Healthy,35,0.026323427062365463,20.0
video10_final.mp4,Healthy,36,0.020946520381159926,20.0
video10_final.mp4,Healthy,37,0.01846746591834756,20.0
video10_final.mp4,Healthy,38,0.021576312846072095,20.0
